bike_number,rideable_type,country,introduced_date
W001029,docked_bike,CAN,2023-03-25
W004849,docked_bike,CAN,2023-03-25
W009289,classic_bike,CAN,2023-03-25
W000241,classic_bike,US,2023-06-18
W002937,classic_bike,US,2023-06-18
W001932,electric_bike,US,2023-06-18
W007304,classic_bike,US,2023-06-18
W009258,classic_bike,US,2023-06-18
W004616,classic_bike,US,2023-05-12
W001109,classic_bike,US,2023-05-12
W004049,classic_bike,US,2023-05-12
W005486,docked_bike,US,2023-05-12
W005681,classic_bike,US,2023-05-12
W002375,classic_bike,CAN,2023-04-12
W009016,classic_bike,CAN,2023-04-12
W001378,classic_bike,CAN,2023-04-12
W002409,classic_bike,CAN,2023-04-12
W001034,classic_bike,CAN,2023-04-12
W000139,docked_bike,CAN,2023-05-12
W002902,docked_bike,CAN,2023-05-12
W008490,classic_bike,CAN,2023-05-12
W006788,classic_bike,CAN,2023-05-12
W007783,classic_bike,CAN,2023-05-12
W005915,electric_bike,US,2023-06-18
W008477,classic_bike,US,2023-06-18
W005982,docked_bike,US,2023-06-18
W007391,classic_bike,US,2023-06-18
W008098,classic_bike,US,2023-06-18
W001877,classic_bike,CAN,2023-03-25
W001894,classic_bike,CAN,2023-03-25
W003936,classic_bike,CAN,2023-03-25
W004364,docked_bike,CAN,2023-03-25
W003221,classic_bike,CAN,2023-03-25
W006737,docked_bike,US,2023-01-01
W004437,classic_bike,US,2023-01-01
W000384,docked_bike,US,2023-01-01
W005725,classic_bike,US,2023-01-01
W004935,classic_bike,US,2023-01-01
W007963,classic_bike,US,2023-04-12
W007572,classic_bike,US,2023-04-12
W009038,electric_bike,US,2023-04-12
W008110,classic_bike,US,2023-04-12
W009997,docked_bike,US,2023-04-12
W009395,classic_bike,CAN,2023-03-25
W002335,classic_bike,CAN,2023-03-25
W002298,classic_bike,CAN,2023-03-25
W007201,classic_bike,CAN,2023-03-25
W005066,classic_bike,CAN,2023-03-25
W001294,classic_bike,US,2023-01-01
W001300,classic_bike,US,2023-01-01
W001118,docked_bike,US,2023-01-01
W005849,classic_bike,US,2023-01-01
W005789,classic_bike,US,2023-01-01
W005618,classic_bike,CAN,2023-05-12
W003175,classic_bike,CAN,2023-05-12
W006695,classic_bike,CAN,2023-05-12
W007691,classic_bike,CAN,2023-05-12
W001614,classic_bike,CAN,2023-05-12
W009429,classic_bike,CAN,2023-02-10
W005326,electric_bike,CAN,2023-02-10
W006813,classic_bike,CAN,2023-02-10
W003781,classic_bike,CAN,2023-02-10
W006778,electric_bike,CAN,2023-02-10
W006193,classic_bike,CAN,2023-01-01
W004603,classic_bike,CAN,2023-01-01
W002848,electric_bike,CAN,2023-01-01
W008729,classic_bike,CAN,2023-01-01
W002730,electric_bike,CAN,2023-01-01
W007190,electric_bike,CAN,2023-05-12
W006670,electric_bike,CAN,2023-05-12
W004396,classic_bike,CAN,2023-05-12
W006311,electric_bike,CAN,2023-05-12
W004217,classic_bike,CAN,2023-05-12
W007922,electric_bike,CAN,2023-05-12
W009243,classic_bike,CAN,2023-05-12
W003724,electric_bike,CAN,2023-05-12
W003295,classic_bike,CAN,2023-05-12
W001710,electric_bike,CAN,2023-05-12
W001508,classic_bike,CAN,2023-02-10
W003383,classic_bike,CAN,2023-02-10
W004968,classic_bike,CAN,2023-02-10
W003043,classic_bike,CAN,2023-02-10
W002272,classic_bike,CAN,2023-02-10
W000760,classic_bike,US,2023-07-07
W001880,classic_bike,US,2023-07-07
W006999,classic_bike,US,2023-07-07
W002698,classic_bike,US,2023-07-07
W008818,classic_bike,US,2023-07-07
W005163,electric_bike,CAN,2023-04-12
W000731,classic_bike,CAN,2023-04-12
W004032,classic_bike,CAN,2023-04-12
W002936,electric_bike,CAN,2023-04-12
W005188,classic_bike,CAN,2023-04-12
W002983,classic_bike,CAN,2023-07-07
W002413,classic_bike,CAN,2023-07-07
W002133,classic_bike,CAN,2023-07-07
W007716,classic_bike,CAN,2023-07-07
W006660,electric_bike,CAN,2023-07-07
W005667,classic_bike,CAN,2023-04-12
W007935,classic_bike,CAN,2023-04-12
W006240,classic_bike,CAN,2023-04-12
W004086,classic_bike,CAN,2023-04-12
W000166,classic_bike,CAN,2023-04-12
W007622,classic_bike,US,2023-03-25
W003207,classic_bike,US,2023-03-25
W003665,classic_bike,US,2023-03-25
W006779,classic_bike,US,2023-03-25
W005607,classic_bike,US,2023-03-25
W008292,electric_bike,CAN,2023-01-01
W001247,classic_bike,CAN,2023-01-01
W001379,classic_bike,CAN,2023-01-01
W004486,classic_bike,CAN,2023-01-01
W007077,classic_bike,CAN,2023-01-01
W005102,classic_bike,CAN,2023-06-18
W009350,classic_bike,CAN,2023-06-18
W008668,classic_bike,CAN,2023-06-18
W004102,classic_bike,CAN,2023-06-18
W002430,classic_bike,CAN,2023-06-18
W004185,classic_bike,US,2023-06-18
W000128,classic_bike,US,2023-06-18
W003106,electric_bike,US,2023-06-18
W008314,classic_bike,US,2023-06-18
W003909,classic_bike,US,2023-06-18
W009752,classic_bike,US,2023-05-12
W006119,classic_bike,US,2023-05-12
W001999,classic_bike,US,2023-05-12
W005467,classic_bike,US,2023-05-12
W004843,classic_bike,US,2023-05-12
W007486,classic_bike,CAN,2023-03-25
W000197,classic_bike,CAN,2023-03-25
W004409,classic_bike,CAN,2023-03-25
W009200,classic_bike,CAN,2023-03-25
W000691,classic_bike,CAN,2023-03-25
W007452,classic_bike,US,2023-02-10
W004124,classic_bike,US,2023-02-10
W001801,classic_bike,US,2023-02-10
W005024,classic_bike,US,2023-02-10
W006187,classic_bike,US,2023-02-10
W009746,classic_bike,US,2023-07-07
W004755,classic_bike,US,2023-07-07
W000955,classic_bike,US,2023-07-07
W003583,classic_bike,US,2023-07-07
W001260,classic_bike,US,2023-07-07
W002812,classic_bike,US,2023-02-10
W004639,classic_bike,US,2023-02-10
W000980,electric_bike,US,2023-02-10
W004111,classic_bike,US,2023-02-10
W009081,classic_bike,US,2023-02-10
W008313,electric_bike,US,2023-04-12
W009554,classic_bike,US,2023-04-12
W009619,classic_bike,US,2023-04-12
W002031,classic_bike,US,2023-04-12
W004135,electric_bike,US,2023-04-12
W003857,classic_bike,US,2023-01-01
W000728,classic_bike,US,2023-01-01
W005516,classic_bike,US,2023-01-01
W000912,classic_bike,US,2023-01-01
W008813,classic_bike,US,2023-01-01
W006128,classic_bike,CAN,2023-02-10
W008916,classic_bike,CAN,2023-02-10
W005643,classic_bike,CAN,2023-02-10
W005578,electric_bike,CAN,2023-02-10
W005687,classic_bike,CAN,2023-02-10
W006916,classic_bike,US,2023-01-01
W000843,classic_bike,US,2023-01-01
W000352,classic_bike,US,2023-01-01
W004832,classic_bike,US,2023-01-01
W009748,classic_bike,US,2023-01-01
W001970,classic_bike,US,2023-07-07
W005301,classic_bike,US,2023-07-07
W006726,classic_bike,US,2023-07-07
W009613,classic_bike,US,2023-07-07
W004826,electric_bike,US,2023-07-07
W007032,classic_bike,CAN,2023-03-25
W009058,classic_bike,CAN,2023-03-25
W006575,classic_bike,CAN,2023-03-25
W001224,classic_bike,CAN,2023-03-25
W006811,classic_bike,CAN,2023-03-25
W004473,electric_bike,CAN,2023-02-10
W001167,classic_bike,CAN,2023-02-10
W000660,classic_bike,CAN,2023-02-10
W006598,classic_bike,CAN,2023-02-10
W001502,electric_bike,CAN,2023-02-10
W007792,classic_bike,CAN,2023-05-12
W000140,classic_bike,CAN,2023-05-12
W003778,classic_bike,CAN,2023-05-12
W002081,electric_bike,CAN,2023-05-12
W003385,classic_bike,CAN,2023-05-12
W000862,classic_bike,US,2023-06-18
W002916,classic_bike,US,2023-06-18
W001075,classic_bike,US,2023-06-18
W006658,classic_bike,US,2023-06-18
W003393,classic_bike,US,2023-06-18
W000276,classic_bike,US,2023-05-12
W008630,classic_bike,US,2023-05-12
W003539,classic_bike,US,2023-05-12
W009303,classic_bike,US,2023-05-12
W007980,classic_bike,US,2023-05-12
W001713,classic_bike,CAN,2023-05-12
W000373,classic_bike,CAN,2023-05-12
W000376,classic_bike,CAN,2023-05-12
W003770,classic_bike,CAN,2023-05-12
W009208,electric_bike,CAN,2023-05-12
W008604,classic_bike,US,2023-06-18
W009253,classic_bike,US,2023-06-18
W009274,classic_bike,US,2023-06-18
W000284,classic_bike,US,2023-06-18
W000449,classic_bike,US,2023-06-18
W008555,classic_bike,CAN,2023-02-10
W006977,electric_bike,CAN,2023-02-10
W007985,classic_bike,CAN,2023-02-10
W006036,classic_bike,CAN,2023-02-10
W006427,classic_bike,CAN,2023-02-10
W009437,classic_bike,CAN,2023-01-01
W003842,classic_bike,CAN,2023-01-01
W005545,electric_bike,CAN,2023-01-01
W009769,classic_bike,CAN,2023-01-01
W006490,classic_bike,CAN,2023-01-01
W006889,classic_bike,US,2023-05-12
W009677,classic_bike,US,2023-05-12
W007023,docked_bike,US,2023-05-12
W004342,classic_bike,US,2023-05-12
W009854,classic_bike,US,2023-05-12
W002169,classic_bike,US,2023-07-07
W003691,electric_bike,US,2023-07-07
W004788,electric_bike,US,2023-07-07
W003429,classic_bike,US,2023-07-07
W004978,classic_bike,US,2023-07-07
W005252,classic_bike,CAN,2023-02-10
W009111,electric_bike,CAN,2023-02-10
W008399,classic_bike,CAN,2023-02-10
W002301,classic_bike,CAN,2023-02-10
W007189,classic_bike,CAN,2023-02-10
W008732,classic_bike,CAN,2023-05-12
W009735,classic_bike,CAN,2023-05-12
W003377,classic_bike,CAN,2023-05-12
W005299,classic_bike,CAN,2023-05-12
W009809,electric_bike,CAN,2023-05-12
W002370,classic_bike,CAN,2023-03-25
W005246,classic_bike,CAN,2023-03-25
W008032,classic_bike,CAN,2023-03-25
W006029,docked_bike,CAN,2023-03-25
W000317,electric_bike,CAN,2023-03-25
W008825,classic_bike,US,2023-07-07
W004068,classic_bike,US,2023-07-07
W002033,classic_bike,US,2023-07-07
W009956,classic_bike,US,2023-07-07
W003123,classic_bike,US,2023-07-07
W006046,classic_bike,CAN,2023-04-12
W004868,classic_bike,CAN,2023-04-12
W002701,classic_bike,CAN,2023-04-12
W007742,classic_bike,CAN,2023-04-12
W004471,classic_bike,CAN,2023-04-12
W007637,classic_bike,CAN,2023-04-12
W005203,classic_bike,CAN,2023-04-12
W006533,electric_bike,CAN,2023-04-12
W008429,classic_bike,CAN,2023-04-12
W001270,classic_bike,CAN,2023-04-12
W006828,classic_bike,CAN,2023-07-07
W003892,classic_bike,CAN,2023-07-07
W008881,classic_bike,CAN,2023-07-07
W009492,classic_bike,CAN,2023-07-07
W004391,classic_bike,CAN,2023-07-07
W003551,classic_bike,US,2023-07-07
W004167,classic_bike,US,2023-07-07
W000605,electric_bike,US,2023-07-07
W002534,classic_bike,US,2023-07-07
W008614,classic_bike,US,2023-07-07
W000706,classic_bike,CAN,2023-07-07
W008360,classic_bike,CAN,2023-07-07
W008510,electric_bike,CAN,2023-07-07
W002167,classic_bike,CAN,2023-07-07
W009057,classic_bike,CAN,2023-07-07
W006035,classic_bike,US,2023-05-12
W007831,classic_bike,US,2023-05-12
W007559,classic_bike,US,2023-05-12
W006775,classic_bike,US,2023-05-12
W005530,classic_bike,US,2023-05-12
W006869,classic_bike,US,2023-05-12
W008011,classic_bike,US,2023-05-12
W000023,classic_bike,US,2023-05-12
W004903,classic_bike,US,2023-05-12
W001776,classic_bike,US,2023-05-12
W004557,classic_bike,CAN,2023-07-07
W009115,classic_bike,CAN,2023-07-07
W001433,classic_bike,CAN,2023-07-07
W009389,classic_bike,CAN,2023-07-07
W006343,electric_bike,CAN,2023-07-07
W007821,classic_bike,US,2023-06-18
W003821,classic_bike,US,2023-06-18
W008274,electric_bike,US,2023-06-18
W004593,classic_bike,US,2023-06-18
W002336,electric_bike,US,2023-06-18
W000925,classic_bike,US,2023-03-25
W005612,classic_bike,US,2023-03-25
W005032,classic_bike,US,2023-03-25
W009080,classic_bike,US,2023-03-25
W005306,classic_bike,US,2023-03-25
W003649,classic_bike,US,2023-07-07
W006280,classic_bike,US,2023-07-07
W004814,classic_bike,US,2023-07-07
W008435,classic_bike,US,2023-07-07
W009661,classic_bike,US,2023-07-07
W007275,classic_bike,US,2023-05-12
W000029,classic_bike,US,2023-05-12
W008146,electric_bike,US,2023-05-12
W002854,classic_bike,US,2023-05-12
W009583,classic_bike,US,2023-05-12
W008658,classic_bike,US,2023-04-12
W007562,classic_bike,US,2023-04-12
W007315,classic_bike,US,2023-04-12
W006037,classic_bike,US,2023-04-12
W003071,classic_bike,US,2023-04-12
W001095,classic_bike,CAN,2023-04-12
W006350,classic_bike,CAN,2023-04-12
W006633,classic_bike,CAN,2023-04-12
W000606,classic_bike,CAN,2023-04-12
W006437,classic_bike,CAN,2023-04-12
W009817,classic_bike,US,2023-07-07
W006795,classic_bike,US,2023-07-07
W000412,classic_bike,US,2023-07-07
W003009,classic_bike,US,2023-07-07
W000637,classic_bike,US,2023-07-07
W002406,classic_bike,CAN,2023-02-10
W000537,classic_bike,CAN,2023-02-10
W002082,classic_bike,CAN,2023-02-10
W005131,classic_bike,CAN,2023-02-10
W004476,classic_bike,CAN,2023-02-10
W007951,classic_bike,CAN,2023-07-07
W008810,classic_bike,CAN,2023-07-07
W005027,classic_bike,CAN,2023-07-07
W000103,classic_bike,CAN,2023-07-07
W008766,classic_bike,CAN,2023-07-07
W005377,classic_bike,US,2023-07-07
W000244,classic_bike,US,2023-07-07
W009136,classic_bike,US,2023-07-07
W009285,classic_bike,US,2023-07-07
W002716,classic_bike,US,2023-07-07
W001220,electric_bike,US,2023-07-07
W001796,classic_bike,US,2023-07-07
W007904,classic_bike,US,2023-07-07
W007763,classic_bike,US,2023-07-07
W008871,classic_bike,US,2023-07-07
W008683,classic_bike,CAN,2023-02-10
W000754,classic_bike,CAN,2023-02-10
W004009,classic_bike,CAN,2023-02-10
W002009,classic_bike,CAN,2023-02-10
W002547,classic_bike,CAN,2023-02-10
W000328,classic_bike,US,2023-02-10
W000916,classic_bike,US,2023-02-10
W003748,classic_bike,US,2023-02-10
W005747,classic_bike,US,2023-02-10
W002307,classic_bike,US,2023-02-10
W007124,classic_bike,US,2023-07-07
W000260,classic_bike,US,2023-07-07
W006433,classic_bike,US,2023-07-07
W006924,classic_bike,US,2023-07-07
W003436,classic_bike,US,2023-07-07
W005023,classic_bike,CAN,2023-07-07
W002731,classic_bike,CAN,2023-07-07
W001887,classic_bike,CAN,2023-07-07
W006358,classic_bike,CAN,2023-07-07
W007358,classic_bike,CAN,2023-07-07
W006830,classic_bike,CAN,2023-01-01
W008552,classic_bike,CAN,2023-01-01
W001003,classic_bike,CAN,2023-01-01
W006190,classic_bike,CAN,2023-01-01
W006100,classic_bike,CAN,2023-01-01
W003658,classic_bike,US,2023-07-07
W007711,classic_bike,US,2023-07-07
W006693,classic_bike,US,2023-07-07
W001806,classic_bike,US,2023-07-07
W005660,classic_bike,US,2023-07-07
W000949,classic_bike,CAN,2023-06-18
W006380,classic_bike,CAN,2023-06-18
W004315,classic_bike,CAN,2023-06-18
W009446,classic_bike,CAN,2023-06-18
W003763,classic_bike,CAN,2023-06-18
W006465,classic_bike,US,2023-05-12
W003887,classic_bike,US,2023-05-12
W002827,classic_bike,US,2023-05-12
W008538,classic_bike,US,2023-05-12
W004521,classic_bike,US,2023-05-12
W002784,classic_bike,CAN,2023-04-12
W001518,classic_bike,CAN,2023-04-12
W009490,classic_bike,CAN,2023-04-12
W005341,classic_bike,CAN,2023-04-12
W008388,classic_bike,CAN,2023-04-12
W007958,classic_bike,CAN,2023-05-12
W003441,classic_bike,CAN,2023-05-12
W006504,electric_bike,CAN,2023-05-12
W004411,classic_bike,CAN,2023-05-12
W004449,classic_bike,CAN,2023-05-12
W003154,classic_bike,US,2023-05-12
W006014,classic_bike,US,2023-05-12
W000474,classic_bike,US,2023-05-12
W007778,classic_bike,US,2023-05-12
W007409,classic_bike,US,2023-05-12
W006645,classic_bike,CAN,2023-06-18
W001284,classic_bike,CAN,2023-06-18
W003553,classic_bike,CAN,2023-06-18
W000849,classic_bike,CAN,2023-06-18
W005800,classic_bike,CAN,2023-06-18
W004355,classic_bike,CAN,2023-03-25
W006175,classic_bike,CAN,2023-03-25
W007979,classic_bike,CAN,2023-03-25
W004446,classic_bike,CAN,2023-03-25
W009903,classic_bike,CAN,2023-03-25
W003459,classic_bike,CAN,2023-02-10
W002577,electric_bike,CAN,2023-02-10
W000098,electric_bike,CAN,2023-02-10
W000940,electric_bike,CAN,2023-02-10
W005510,electric_bike,CAN,2023-02-10
W009419,electric_bike,CAN,2023-01-01
W003663,classic_bike,CAN,2023-01-01
W008814,electric_bike,CAN,2023-01-01
W007911,classic_bike,CAN,2023-01-01
W002443,classic_bike,CAN,2023-01-01
W000982,classic_bike,CAN,2023-03-25
W007892,classic_bike,CAN,2023-03-25
W005815,classic_bike,CAN,2023-03-25
W007819,classic_bike,CAN,2023-03-25
W001011,classic_bike,CAN,2023-03-25
W005536,classic_bike,US,2023-01-01
W007584,classic_bike,US,2023-01-01
W005418,electric_bike,US,2023-01-01
W007443,classic_bike,US,2023-01-01
W006467,classic_bike,US,2023-01-01
W001762,classic_bike,CAN,2023-06-18
W000268,classic_bike,CAN,2023-06-18
W008015,classic_bike,CAN,2023-06-18
W006252,classic_bike,CAN,2023-06-18
W008344,classic_bike,CAN,2023-06-18
W001597,classic_bike,CAN,2023-03-25
W007362,electric_bike,CAN,2023-03-25
W004367,classic_bike,CAN,2023-03-25
W005328,classic_bike,CAN,2023-03-25
W002269,docked_bike,CAN,2023-03-25
W008583,classic_bike,US,2023-05-12
W001578,classic_bike,US,2023-05-12
W007356,classic_bike,US,2023-05-12
W008969,classic_bike,US,2023-05-12
W007137,electric_bike,US,2023-05-12
W005022,classic_bike,US,2023-02-10
W006984,classic_bike,US,2023-02-10
W002007,electric_bike,US,2023-02-10
W005993,classic_bike,US,2023-02-10
W009569,classic_bike,US,2023-02-10
W002924,electric_bike,US,2023-02-10
W006298,electric_bike,US,2023-02-10
W009372,classic_bike,US,2023-02-10
W009229,classic_bike,US,2023-02-10
W001007,electric_bike,US,2023-02-10
W006974,electric_bike,US,2023-05-12
W006903,electric_bike,US,2023-05-12
W001057,electric_bike,US,2023-05-12
W008355,classic_bike,US,2023-05-12
W009329,classic_bike,US,2023-05-12
W002226,classic_bike,CAN,2023-01-01
W000030,classic_bike,CAN,2023-01-01
W004772,classic_bike,CAN,2023-01-01
W005469,docked_bike,CAN,2023-01-01
W006086,classic_bike,CAN,2023-01-01
W008852,electric_bike,CAN,2023-04-12
W004537,classic_bike,CAN,2023-04-12
W003981,classic_bike,CAN,2023-04-12
W007184,classic_bike,CAN,2023-04-12
W009608,docked_bike,CAN,2023-04-12
W009007,classic_bike,CAN,2023-05-12
W006255,classic_bike,CAN,2023-05-12
W009525,classic_bike,CAN,2023-05-12
W009856,classic_bike,CAN,2023-05-12
W005313,classic_bike,CAN,2023-05-12
W006561,classic_bike,CAN,2023-06-18
W007155,classic_bike,CAN,2023-06-18
W009266,classic_bike,CAN,2023-06-18
W002628,classic_bike,CAN,2023-06-18
W008922,classic_bike,CAN,2023-06-18
W002978,classic_bike,US,2023-07-07
W007348,classic_bike,US,2023-07-07
W005772,classic_bike,US,2023-07-07
W006483,classic_bike,US,2023-07-07
W006378,classic_bike,US,2023-07-07
W003526,classic_bike,CAN,2023-07-07
W004777,classic_bike,CAN,2023-07-07
W002977,classic_bike,CAN,2023-07-07
W004883,classic_bike,CAN,2023-07-07
W003656,classic_bike,CAN,2023-07-07
W000034,classic_bike,CAN,2023-06-18
W000941,classic_bike,CAN,2023-06-18
W001309,classic_bike,CAN,2023-06-18
W004756,classic_bike,CAN,2023-06-18
W006959,classic_bike,CAN,2023-06-18
W004533,classic_bike,US,2023-03-25
W002261,classic_bike,US,2023-03-25
W005597,classic_bike,US,2023-03-25
W004620,electric_bike,US,2023-03-25
W000853,classic_bike,US,2023-03-25
W009442,classic_bike,CAN,2023-04-12
W006354,classic_bike,CAN,2023-04-12
W007877,classic_bike,CAN,2023-04-12
W000692,classic_bike,CAN,2023-04-12
W006809,classic_bike,CAN,2023-04-12
W008406,classic_bike,CAN,2023-01-01
W007070,classic_bike,CAN,2023-01-01
W002332,classic_bike,CAN,2023-01-01
W004829,electric_bike,CAN,2023-01-01
W001993,classic_bike,CAN,2023-01-01
W001769,classic_bike,CAN,2023-06-18
W004651,classic_bike,CAN,2023-06-18
W005439,electric_bike,CAN,2023-06-18
W007684,classic_bike,CAN,2023-06-18
W000344,classic_bike,CAN,2023-06-18
W004600,classic_bike,US,2023-07-07
W006038,classic_bike,US,2023-07-07
W009567,electric_bike,US,2023-07-07
W000576,classic_bike,US,2023-07-07
W000813,classic_bike,US,2023-07-07
W008132,classic_bike,US,2023-02-10
W007221,classic_bike,US,2023-02-10
W002058,classic_bike,US,2023-02-10
W003864,classic_bike,US,2023-02-10
W002537,classic_bike,US,2023-02-10
W004674,classic_bike,US,2023-05-12
W007287,classic_bike,US,2023-05-12
W001843,classic_bike,US,2023-05-12
W000662,classic_bike,US,2023-05-12
W002564,classic_bike,US,2023-05-12
W003890,classic_bike,US,2023-02-10
W008333,classic_bike,US,2023-02-10
W000684,classic_bike,US,2023-02-10
W007471,classic_bike,US,2023-02-10
W004682,classic_bike,US,2023-02-10
W001596,classic_bike,US,2023-01-01
W006402,electric_bike,US,2023-01-01
W000554,classic_bike,US,2023-01-01
W006738,classic_bike,US,2023-01-01
W002398,classic_bike,US,2023-01-01
W003852,classic_bike,CAN,2023-05-12
W003353,classic_bike,CAN,2023-05-12
W000253,classic_bike,CAN,2023-05-12
W005754,classic_bike,CAN,2023-05-12
W006898,classic_bike,CAN,2023-05-12
W001438,classic_bike,CAN,2023-03-25
W005735,classic_bike,CAN,2023-03-25
W001454,classic_bike,CAN,2023-03-25
W002164,classic_bike,CAN,2023-03-25
W003470,classic_bike,CAN,2023-03-25
W003689,classic_bike,CAN,2023-02-10
W008948,classic_bike,CAN,2023-02-10
W001523,classic_bike,CAN,2023-02-10
W001077,classic_bike,CAN,2023-02-10
W000722,classic_bike,CAN,2023-02-10
W001297,classic_bike,US,2023-04-12
W005927,classic_bike,US,2023-04-12
W001930,classic_bike,US,2023-04-12
W001987,classic_bike,US,2023-04-12
W007139,classic_bike,US,2023-04-12
W006399,classic_bike,CAN,2023-01-01
W001321,electric_bike,CAN,2023-01-01
W000624,classic_bike,CAN,2023-01-01
W008640,classic_bike,CAN,2023-01-01
W001472,classic_bike,CAN,2023-01-01
W002841,classic_bike,US,2023-01-01
W009465,electric_bike,US,2023-01-01
W006961,classic_bike,US,2023-01-01
W005296,classic_bike,US,2023-01-01
W000283,docked_bike,US,2023-01-01
W007230,docked_bike,US,2023-07-07
W004423,classic_bike,US,2023-07-07
W007658,classic_bike,US,2023-07-07
W003225,classic_bike,US,2023-07-07
W003375,classic_bike,US,2023-07-07
W004606,classic_bike,CAN,2023-01-01
W007096,classic_bike,CAN,2023-01-01
W002539,classic_bike,CAN,2023-01-01
W006144,classic_bike,CAN,2023-01-01
W009869,electric_bike,CAN,2023-01-01
W008914,electric_bike,US,2023-03-25
W007811,classic_bike,US,2023-03-25
W001231,electric_bike,US,2023-03-25
W008869,classic_bike,US,2023-03-25
W009682,electric_bike,US,2023-03-25
W008777,classic_bike,CAN,2023-06-18
W000374,classic_bike,CAN,2023-06-18
W000775,classic_bike,CAN,2023-06-18
W009390,docked_bike,CAN,2023-06-18
W008608,classic_bike,CAN,2023-06-18
W001751,classic_bike,US,2023-02-10
W007942,classic_bike,US,2023-02-10
W008783,classic_bike,US,2023-02-10
W009982,classic_bike,US,2023-02-10
W008233,classic_bike,US,2023-02-10
